12                                               ; NUMBER OF HEADER LINES IN THIS PROFILE"S HEADER (AFTER THIS LINE)
383                                              ; NUMBER OF DATA LINES IN THIS PROFILE
2013- 6-17, 03:47:47                             ; DATA PROCESSING DATE, TIME
Version: DIAL6                                   ; DATA PROCESSING VERSION
1586.0, -9.999e+003, 8.991e+005, 550.0, 0.71, 3.00, -9999.00, -9999.00, 8.342e+002, 8.342e+000, 262.34, 2.00, 2.303e+025, 2.303e+023
1616.0, -9.999e+003, 8.991e+005, 550.0, 0.75, 3.00, -9999.00, -9999.00, 8.309e+002, 8.309e+000, 262.06, 2.00, 2.296e+025, 2.296e+023
1646.0, -9.999e+003, 8.991e+005, 550.0, 0.78, 3.00, -9999.00, -9999.00, 8.277e+002, 8.277e+000, 261.79, 2.00, 2.290e+025, 2.290e+023
1676.0, -9.999e+003, 8.991e+005, 550.0, 0.82, 3.00, -9999.00, -9999.00, 8.244e+002, 8.244e+000, 261.51, 2.00, 2.283e+025, 2.283e+023
1706.0, -9.999e+003, 8.991e+005, 550.0, 0.85, 3.00, -9999.00, -9999.00, 8.212e+002, 8.212e+000, 261.23, 2.00, 2.277e+025, 2.277e+023
1736.0, 1.307e+018, 1.173e+016, 550.0, 0.90, 3.00, 57.56, 0.52, 8.180e+002, 8.180e+000, 260.95, 2.00, 2.270e+025, 2.270e+023
1766.0, 1.277e+018, 1.207e+016, 550.0, 0.94, 3.00, 56.40, 0.53, 8.148e+002, 8.148e+000, 260.67, 2.00, 2.264e+025, 2.264e+023
1796.0, 1.236e+018, 1.226e+016, 550.0, 0.99, 3.00, 54.75, 0.54, 8.116e+002, 8.116e+000, 260.39, 2.00, 2.258e+025, 2.258e+023
1826.0, 1.210e+018, 1.257e+016, 550.0, 1.04, 3.00, 53.76, 0.56, 8.084e+002, 8.084e+000, 260.11, 2.00, 2.251e+025, 2.251e+023
1856.0, 1.271e+018, 1.380e+016, 550.0, 1.09, 3.00, 56.62, 0.61, 8.052e+002, 8.052e+000, 259.83, 2.00, 2.245e+025, 2.245e+023
1886.0, 1.253e+018, 1.429e+016, 550.0, 1.14, 3.00, 55.99, 0.64, 8.021e+002, 8.021e+000, 259.56, 2.00, 2.238e+025, 2.238e+023
1916.0, 1.235e+018, 1.475e+016, 550.0, 1.19, 3.00, 55.36, 0.66, 7.989e+002, 7.989e+000, 259.30, 2.00, 2.232e+025, 2.232e+023
1946.0, 1.218e+018, 1.520e+016, 550.0, 1.25, 3.00, 54.74, 0.68, 7.958e+002, 7.958e+000, 259.03, 2.00, 2.225e+025, 2.225e+023
1976.0, 1.200e+018, 1.563e+016, 550.0, 1.30, 3.00, 54.11, 0.70, 7.926e+002, 7.926e+000, 258.77, 2.00, 2.218e+025, 2.218e+023
2006.0, 1.183e+018, 1.604e+016, 550.0, 1.36, 3.00, 53.48, 0.73, 7.895e+002, 7.895e+000, 258.50, 2.00, 2.212e+025, 2.212e+023
2036.0, 1.176e+018, 1.655e+016, 550.0, 1.41, 3.00, 53.34, 0.75, 7.864e+002, 7.864e+000, 258.30, 2.00, 2.205e+025, 2.205e+023
2066.0, 1.169e+018, 1.704e+016, 550.0, 1.46, 3.00, 53.19, 0.78, 7.833e+002, 7.833e+000, 258.09, 2.00, 2.198e+025, 2.198e+023
2096.0, 1.162e+018, 1.753e+016, 550.0, 1.51, 3.00, 53.04, 0.80, 7.802e+002, 7.802e+000, 257.88, 2.00, 2.191e+025, 2.191e+023
2126.0, 1.155e+018, 1.801e+016, 550.0, 1.56, 3.00, 52.89, 0.82, 7.771e+002, 7.771e+000, 257.68, 2.00, 2.184e+025, 2.184e+023
2156.0, 1.148e+018, 1.849e+016, 550.0, 1.61, 3.00, 52.74, 0.85, 7.740e+002, 7.740e+000, 257.47, 2.00, 2.177e+025, 2.177e+023
2186.0, 1.148e+018, 1.904e+016, 550.0, 1.66, 3.00, 52.88, 0.88, 7.709e+002, 7.709e+000, 257.22, 2.00, 2.171e+025, 2.171e+023
2216.0, 1.148e+018, 1.959e+016, 550.0, 1.71, 3.00, 53.02, 0.91, 7.678e+002, 7.678e+000, 256.96, 2.00, 2.164e+025, 2.164e+023
2246.0, 1.147e+018, 2.014e+016, 550.0, 1.76, 3.00, 53.16, 0.93, 7.648e+002, 7.648e+000, 256.71, 2.00, 2.158e+025, 2.158e+023
2276.0, 1.147e+018, 2.069e+016, 550.0, 1.80, 3.00, 53.30, 0.96, 7.617e+002, 7.617e+000, 256.45, 2.00, 2.151e+025, 2.151e+023
2306.0, 1.146e+018, 2.123e+016, 550.0, 1.85, 3.00, 53.44, 0.99, 7.587e+002, 7.587e+000, 256.20, 2.00, 2.145e+025, 2.145e+023
2336.0, 1.151e+018, 2.181e+016, 550.0, 1.90, 3.00, 53.82, 1.02, 7.557e+002, 7.557e+000, 255.98, 2.00, 2.138e+025, 2.138e+023
2366.0, 1.156e+018, 2.240e+016, 550.0, 1.94, 3.00, 54.21, 1.05, 7.527e+002, 7.527e+000, 255.75, 2.00, 2.131e+025, 2.131e+023
2396.0, 1.160e+018, 2.298e+016, 550.0, 1.98, 3.00, 54.60, 1.08, 7.496e+002, 7.496e+000, 255.53, 2.00, 2.125e+025, 2.125e+023
2426.0, 1.165e+018, 2.357e+016, 550.0, 2.02, 3.00, 54.98, 1.11, 7.466e+002, 7.466e+000, 255.31, 2.00, 2.118e+025, 2.118e+023
2456.0, 1.169e+018, 2.416e+016, 550.0, 2.07, 3.00, 55.37, 1.14, 7.436e+002, 7.436e+000, 255.08, 2.00, 2.111e+025, 2.111e+023
2486.0, 1.178e+018, 2.480e+016, 550.0, 2.10, 3.00, 55.98, 1.18, 7.407e+002, 7.407e+000, 254.88, 2.00, 2.105e+025, 2.105e+023
2516.0, 1.187e+018, 2.545e+016, 550.0, 2.14, 3.00, 56.59, 1.21, 7.377e+002, 7.377e+000, 254.68, 2.00, 2.098e+025, 2.098e+023
2546.0, 1.196e+018, 2.610e+016, 550.0, 2.18, 3.00, 57.20, 1.25, 7.347e+002, 7.347e+000, 254.48, 2.00, 2.091e+025, 2.091e+023
2576.0, 1.205e+018, 2.676e+016, 550.0, 2.22, 3.00, 57.82, 1.28, 7.318e+002, 7.318e+000, 254.28, 2.00, 2.084e+025, 2.084e+023
2606.0, 1.214e+018, 2.742e+016, 550.0, 2.26, 3.00, 58.43, 1.32, 7.288e+002, 7.288e+000, 254.08, 2.00, 2.078e+025, 2.078e+023
2636.0, 1.226e+018, 2.812e+016, 550.0, 2.29, 3.00, 59.20, 1.36, 7.259e+002, 7.259e+000, 253.95, 2.00, 2.070e+025, 2.070e+023
2666.0, 1.237e+018, 2.883e+016, 550.0, 2.33, 3.00, 59.97, 1.40, 7.230e+002, 7.230e+000, 253.83, 2.00, 2.063e+025, 2.063e+023
2696.0, 1.249e+018, 2.955e+016, 550.0, 2.37, 3.00, 60.74, 1.44, 7.201e+002, 7.201e+000, 253.70, 2.00, 2.056e+025, 2.056e+023
2726.0, 1.260e+018, 3.027e+016, 550.0, 2.40, 3.00, 61.51, 1.48, 7.172e+002, 7.172e+000, 253.58, 2.00, 2.048e+025, 2.048e+023
2756.0, 1.271e+018, 3.099e+016, 550.0, 2.44, 3.00, 62.28, 1.52, 7.143e+002, 7.143e+000, 253.46, 2.00, 2.041e+025, 2.041e+023
2786.0, 1.283e+018, 3.177e+016, 550.0, 2.48, 3.00, 63.03, 1.56, 7.114e+002, 7.114e+000, 253.17, 2.00, 2.035e+025, 2.035e+023
2816.0, 1.294e+018, 3.255e+016, 550.0, 2.51, 3.00, 63.79, 1.60, 7.085e+002, 7.085e+000, 252.89, 2.00, 2.029e+025, 2.029e+023
2846.0, 1.306e+018, 3.334e+016, 550.0, 2.55, 3.00, 64.54, 1.65, 7.057e+002, 7.057e+000, 252.61, 2.00, 2.023e+025, 2.023e+023
2876.0, 1.317e+018, 3.413e+016, 550.0, 2.59, 3.00, 65.29, 1.69, 7.028e+002, 7.028e+000, 252.33, 2.00, 2.017e+025, 2.017e+023
2906.0, 1.328e+018, 3.493e+016, 550.0, 2.63, 3.00, 66.05, 1.74, 6.999e+002, 6.999e+000, 252.04, 2.00, 2.011e+025, 2.011e+023
2936.0, 1.337e+018, 3.579e+016, 550.0, 2.68, 3.00, 66.68, 1.78, 6.971e+002, 6.971e+000, 251.83, 2.00, 2.005e+025, 2.005e+023
2966.0, 1.345e+018, 3.665e+016, 550.0, 2.72, 3.00, 67.30, 1.83, 6.943e+002, 6.943e+000, 251.62, 2.00, 1.999e+025, 1.999e+023
2996.0, 1.353e+018, 3.751e+016, 550.0, 2.77, 3.00, 67.93, 1.88, 6.915e+002, 6.915e+000, 251.40, 2.00, 1.992e+025, 1.992e+023
3026.0, 1.361e+018, 3.838e+016, 550.0, 2.82, 3.00, 68.56, 1.93, 6.887e+002, 6.887e+000, 251.19, 2.00, 1.986e+025, 1.986e+023
3056.0, 1.369e+018, 3.926e+016, 550.0, 2.87, 3.00, 69.18, 1.98, 6.858e+002, 6.858e+000, 250.98, 2.00, 1.979e+025, 1.979e+023
3086.0, 1.372e+018, 4.019e+016, 550.0, 2.93, 3.00, 69.54, 2.04, 6.831e+002, 6.831e+000, 250.77, 2.00, 1.973e+025, 1.973e+023
3116.0, 1.375e+018, 4.112e+016, 550.0, 2.99, 3.00, 69.90, 2.09, 6.803e+002, 6.803e+000, 250.55, 2.00, 1.966e+025, 1.966e+023
3146.0, 1.377e+018, 4.206e+016, 550.0, 3.05, 3.00, 70.26, 2.15, 6.775e+002, 6.775e+000, 250.34, 2.00, 1.960e+025, 1.960e+023
